Customer,SSN,Name,Birthdate,Current age,Region,CredCardUser?,Income,Purchases,AmountSpent
73, 660-23-9075,Patrick Spence,14|10|1957,,Middle Atlantic,0,61700,1,430
74,670035222,"Bridges, Allegra ",15|9|1947,,Mountain,0,62900,3,1540
75,035-335471,"Carey, Solomon",3|9|1962,,NE ,1,57200,4,1870
76, 701-16-7956, Sophia Weeks,8|6|1952,,Hawaii ,0,28600,2,980
77,812-53-3925,"Dennis, Mikayla",21|8|1951,,South Atlantic,0,54800,4,2060
78,928-03-6804,"Hale, Malcolm",30|6|1957,,Mid. Atlantic,1,99000,2,1010
79,563-59-2002,"Steele, Bell",25|12|1944,,New England ,0,32200,6,3350
80,921-76-8114," Hardin, Aaron ",26|2|1956,, South Atlantic,0,157300,5,2690
81,717333321,"Sherman, Eden",3|9|1956,, E. N. Central,0,159500,3,1500
82,806-85-0231,"Baxter, Chloe",15|2|1963,, Middle Atlantic,0,51800,1,440
83,706-95-2886,"Bean, Macy",28|2|1968,,New England,0,90700,2,1070
84,024-35-0030,Leandra Workman,17|8|1932,,S. Atlantic,0,145000,4,2000
85,498-892407,"Nieves, Aretha",1|6|1949,,,0,61300,1,500
86,766-80-1760,"Harrell, Chester",17|12|1951,,Pac. ,0,46800,2,910
87, 993-16-6395,"Herman, Willow ",4|1|1940,, Middle Atlantic,1,132900,2,1050
88,306917822,Alea Spence,18|6|1976,,Pacific,0,22300,6,2970
89,527-22-2738,"Kerr, Hanna",20|10|1962,,MA,0,157100,5,2440
90,968-69-0478,"Wilkinson, Jin",28|2|1933,,East North Central ,1,74700,5,2500
91,13657-5577,Gloria Lambert,1|1|1967,,South Atlantic,1,61200,1,500
92,374-74-5181,Beverly Barker ,30|8|1939,,South Atlantic,1,104600,3,1580
93,547-295276,"Mays, Kermit ",5|3|1943,,SA,1,159400,3,1490
94,23806-2858,"Flowers, Bruce",28|11|1933,,ENC ,0,90900,4,1850
95, 786-57-2428,"Hughes, Sean",6|3|1967,, ,1,99600,3,1440
96, 690-64-5343,Amanda Giles,22|11|1937,, South Atlantic,0,26500,1,430
97,670-964031,Imani Sanders ,29|5|1954,,Alaska,0,34000,0,0
98,141-37-6975,"Brewer, Zoe",28|7|1962,,NE,0,105500,3,1650
99, 529-62-7010,"Dennis, Rylee",14|10|1936,,Middle Atlantic,0,113200,1,580
100, 356924512,Jolene Holden,1|5|1967,,Middle Atlantic,0,117300,0,0
101,836019399,"Miranda, Carlos",8|7|1947,,Middle Atlantic,0,53100,3,1580
102,364393617,Jelani Watkins ,2|3|1974,,NE,0,29100,2,980
103,55120-4111,"Larsen, Jolene",1|7|1946,,Mid. Atlantic ,1,159300,3,1370
104,867-05-5859,"Mcpherson, Molly ",15|4|1953,,ESC ,0,53500,2,1050
105,979-54-8523,"Morris, Barrett",23|12|1968,, MA ,0,49900,4,2250
106,739-54-0181,"Cummings, Martin",21|9|1967,,New England ,0,128200,3,1480
107,138-16-7186,"Franco, Faith",6|8|1951,,P,1,131900,5,2550
108,196-33-5985,Adele Parks,27|11|1937,,Middle Atlantic,0,56100,2,970
109,280073023,"Yates, Zelenia",4|8|1943,,West North Central,0,24300,3,460
110,446-98-7404,Clinton Fuller,11|9|1976,,E. S. Central,1,57000,3,1450
111,120-59-5525,"Mccall, Nolan",9|1|1970,,,1,35100,1,480
112,227-25-483,"Sparks, Jonah",8|8|1972,,Mid. Atlantic,1,38900,4,1820
113,148-22-2476,"Stone, Elizabeth",7|5|1975,, Alaska,0,104800,4,2160
114,540-01-0871,"Shaw, Ryder",24|8|1939,, E. N. Central ,0,101100,2,980
115, 827-61-3957,"Rodriguez, Maryam ",23|1|1951,,Mid. Atlantic,1,104800,1,470
116,388-77-5287,"Noel, Tatum",10|10|1943,, ENC,0,131000,2,1010
117,664-07-3617,Carter Strong,1|11|1942,,Mountain,1,60600,3,1480
118, 196-36-5435,"Cole, Naomi",21|1|1934,,NE,0,87200,3,1590
119, 763-45-1991 ,"Kennedy, Cailin",16|6|1956,, South Atlantic,0,120400,6,3000
120,779-58-0888,Myles Carrillo,1|4|1976,,Mountain,0,82400,3,1540
121,345-16-5545,"Montoya, Vance",8|7|1959,,MA,1,112700,3,450
122,875-06-3762," Prince, Gabriel",4|1|1967,,Mid. Atlantic,1,74600,5,2510
123,088-19-7329,"Hess, Harlan",16|9|1963,,S. Atlantic,0,22900,3,1650
124,226-86-1007,"Romero, Deanna",16|4|1934,,West North Central,1,127000,1,560
125,947298137,"Holmes, Orlando ",5|7|1937,,NE,0,28000,3,1460
126,878734511,"Howe, Boris ",25|12|1953,, West South Central,1,51400,5,2410
127,005-83-0032,"Ayala, Yen",13|9|1950,, South Atlantic,1,122400,3,1460
128,214259429,Darryl Conner,3|7|1941,,SA,1,62300,0,0
129,072-31-6181,Mason Hester,7|12|1930,, W. S. Central,1,30000,7,3430
130, 086-90-9306," Ochoa, Danielle",12|2|1937,, East North Central,0,94800,1,480
131,245-346151,"Stout, Armando",23|1|1934,,Ala. ,0,32300,4,2110
132,338-43-2322,"Hurst, John",3|10|1936,, Middle Atlantic,0,33700,5,2630
133,475-72-9956,Hoyt Douglas,3|5|1931,,West South Central,1,84800,6,3010
134,112-14-2487,Quinn Downs,6|4|1975,, South Atlantic,0,119800,3,1570
135, 356-81-4354,"Kennedy, Isaiah ",7|7|1950,,,0,45100,3,1530
136,984-609162,"Curry, Karina ",14|1|1946,,Middle Atlantic,1,73500,3,1680
137,794372075,"Tyler, August",3|12|1939,,Middle Atlantic ,0,60300,2,990
138, 685-49-2360,"James, Ali",3|8|1936,,East North Central,0,30000,6,3000
139,387-87-8995,"Greer, Inga",29|12|1936,, Pacific,1,111300,1,510
140,052-104037,"Gibson, Francis ",6|5|1941,,Middle Atlantic ,1,74800,2,940
141, 679477511,"Mathis, Belle",24|2|1950,,Middle Atlantic,0,55000,3,1380
142,042875011,"Ochoa, Francis",2|8|1947,, ,1,127500,4,1950
143,296-22-7981,"Taylor, Baker",6|2|1952,,S. Atlantic,0,38500,1,520
144,293-45-1188,"Owen, Ginger",26|11|1934,,East South Central,0,126900,3,1510
145,795-49-1529,Brittany Norton,28|2|1962,,New England,0,136900,2,920
146,729-96-6009,"Winters, Jasmine",7|2|1931,, ,0,27500,2,1080
147,912879911,Brent Delacruz,6|6|1974,,Pacific ,0,74700,1,470
148, 237-88-3817,"Meyers, Indira",11|8|2029,,East North Central ,0,63800,8,3960
149, 640-10-2682," Mueller, Lani",28|12|1973,,Pac.,0,40400,2,990
150,84540-9466,"Armstrong, Audra",28|6|1967,,New England,0,34500,3,1550
151, 161-55-1347,Basia Diaz,24|4|1941,,E. S. Central,1,65700,4,1970
152, 766-34-9778 ,"Thomas, Bernard",6|2|1938,,East North Central,1,54100,2,970
153,048-55-8930,"Lee, Macey ",5|9|1934,,MA,1,64400,9999,9999
154,978-49-9213,"Rosales, Lara",21|2|1974,,New England,1,155900,2,990
155,311-92-3454,"Monroe, Samuel",15|8|1955,,Mountain,0,134900,2,910
156, 004-59-9799,Rudyard Bailey,12|6|1938,, South Atlantic,0,79700,2,980
157, 381826591,Stuart Simon,3|4|1950,,AK,0,95600,1,490
158,401489373,Maris Murphy,5|11|1954,,E. S. Central,0,110700,4,2110
159,680-00-1375,Nicole Nielsen,28|9|1948,,NE,1,139500,4,2050
160,681919241,Yvette Key,12|3|1939,,Mid. Atlantic ,1,97300,4,1960
161,903741242,"Wallace, Fatima",14|5|1953,,Mountain,0,47800,4,1980
162,983-99-2656, Kylee Daugherty,14|2|1937,,South Atlantic ,0,128100,2,1040
163,711-72-5796,"Andrews, Celeste",20|9|1936,, ,0,158700,2,480
164,257-52-2928,Andrew Johns,3|4|1969,,Mtn.,1,47300,2,1070
165,934-95-6742,"William, Lois",17|3|1942,, Pac. ,1,80600,3,1510
166,668-39-5208," Myers, Zachary",23|6|1951,,Hawaii ,0,31100,6,2920
167,071414982,"Griffith, John",17|7|1975,,ESC,1,26600,3,1590
168,898-971835," Sullivan, Elliott",31|8|1951,,East South Central,0,67400,2,930
169, 368-55-5341,"Sharpe, Stacey",17|7|1950,,Mountain,0,111300,4,2030
170,843-38-7171,"Merrill, Chase",5|9|1943,,New England,0,141800,6,2930
171,595-40-8667,Damon Baker,11|5|1943,,East North Central,1,146000,4,1950
172,041895328,Anne Palmer,14|2|1938,,E. N. Central,1,102100,1,510
173,836-76-9797,Kai Winters,11|8|1966,,Pacific,0,81500,3,1470
174,240-78-9827,"Castillo, Daphne",9|1|1930,,South Atlantic,0,29900,2,960
175,081-21-6057,Nichole Ellison ,7|10|1935,,Pacific,1,47000,4,2020
176,668-26-5505,"Norris, Lester",5|10|1939,,Mid. Atlantic,0,45000,1,490
177,504-11-1370," Rodriguez, Yasir",30|3|1947,,Hawaii,0,74000,1,500
178,914-728993,Kai Robbins,22|10|1950,,East South Central,1,32700,5,2540
179,798566203,"Powers, Martin",2|6|1964,, Pacific,0,55500,4,2140
180,135-53-6004,Neville Mullen,8|6|1946,,East North Central,0,75400,2,1030
181,768316143,"Morin, Priscilla",23|7|1944,, Hawaii,0,51500,5,2700
182,106767765,Benedict Leblanc,10|9|1962,,Middle Atlantic ,0,113200,1,450
183,568-67-3235,"Eaton, Dante",4|6|1963,,South Atlantic,1,84900,3,1640
184,749-13-4045,"Sweet, Kristen",22|8|1930,,New England ,1,120600,2,1060
185,958-01-0608,"Bradshaw, Ciara",29|4|1957,,Middle Atlantic,1,94100,3,1530
186, 663100871,"Anthony, Uriah",25|4|1955,,West North Central ,1,122500,4,2020
187, 970-73-9521,"Levine, Lareina",28|4|1975,,East South Central,0,158100,2,900
188,058-37-2441,Aline Russell,14|11|1965,,Hawaii,1,116300,2,910
189, 848-65-2949,"Odom, Chandler",23|9|1934,, New England,0,113000,2,890
190, 350-19-4965,"Aguirre, Olivia",29|12|1962,,New England ,0,79100,1,560
191,927-89-2673,Hayden Burt ,4|4|1972,,Mid. Atlantic ,0,53800,4,1990
192, 907467393,Bradley Fowler,10|7|1939,,East South Central,1,139300,2,1110
193,194-51-2699,"Bonner, Phelan",19|6|1937,,Pac.,1,128700,4,2000
194,805-67-0224,Mark Giles,10|7|1943,,Ala. ,0,42600,3,1460
195,612-34-1280,"Luna, Kieran",16|10|1934,,Middle Atlantic ,1,114400,6,3180
196,181-87-5635,Dennis Burt,17|12|1965,,SA,1,125300,1,500
197,842082108,Maia Rosa,1|12|1972,,,0,39800,2,1000
198,616-28-4605,"Hobbs, Roary",1|11|1963,,West South Central,0,79300,2,930
199,014-61-7801,"Allen, Phyllis ",19|8|1973,,Hawaii,1,77800,2,1050
200,314-15-4994,"Vaughan, Anjolie",21|11|1951,, MA,1,27000,5,2590
201,139-10-7980,"Dalton, Paula",12|9|1957,, Haw.,1,55900,4,1970
202,554-39-9975,"Finley, Quinlan",25|2|1968,, East South Central ,0,68600,1,450
203,166-49-2456,Penelope Kelley,26|4|1940,,MA,1,90800,4,1890
204, 329-16-1715,"Larson, Sade",18|10|1942,,South Atlantic,0,121400,4,1890
205,315-66-4727,Deacon Collins,4|12|1943,,P,0,23200,0,0
206,089-59-1345,"Decker, Beck",4|4|1955,, Mid. Atlantic,0,58300,2,960
207,257-73-8874,"Buckner, Amos",14|7|1970,, E. S. Central,0,89900,1,490
208,862-39-6932,Tamekah Grimes,22|5|1937,,P,1,154100,4,2000
209,234-21-0404,"Lamb, Melissa",5|10|1951,,Hawaii ,0,83900,2,960
210,805-78-8752,"Orr, Cheyenne",21|2|1947,, Pac.,1,87100,1,500
211,130-32-9797,"Chambers, Paloma",15|8|1949,,Middle Atlantic ,1,56000,5,2570
212,810-32-9755,"Oliver, Carissa",18|10|1962,,AK ,1,63100,3,1520
213,347-12-6942,Clayton Steele,24|12|1941,,Pacific,1,141800,3,1570
214,865-98-4398,"Dunlap, Russell",25|6|1953,,Middle Atlantic,0,101000,0,0
215,416-41-5038,"Trevino, Wynne",18|1|1958,,SA,1,128000,1,520
216,362-37-6183,"Cabrera, Lucas",21|6|1972,,W. S. Central ,1,110600,4,1930
217, 20636-4571,"Obrien, Ruth",15|8|1967,,Pac. ,0,109100,2,1040
218,648825612,"Rose, Flynn",15|1|1939,,Mtn.,0,126500,4,2120
219,598-63-4290, Kalia Barr,12|8|1953,,East North Central ,0,60800,4,1980
220, 148-17-5139,"Mcmahon, Kasimir",12|7|1932,, Mountain ,0,158600,1,560
221,277-65-0008,"Jones, Holmes",3|4|1965,,East North Central,1,35200,2,910
222,921-58-5899,"Pacheco, Honorato ",14|11|1944,,South Atlantic,-1,95000,1,490
223, 853483661,"Houston, Gisela",5|12|1944,,Pac.,0,104100,3,1560
224,934-03-3752,Vivian Bender,28|12|1940,, E. N. Central,0,33100,3,1430
225, 50669-9915,"Graham, Jared",30|9|1931,, NE,0,152500,2,1070
226,332-59-6137 ,"Dale, Shana",24|8|1951,,ENC,0,139400,4,2130
227,580-03-8512,"Bauer, Damon",12|10|1953,,AK,0,48400,2,1170
228,593-64-3253,"Meyers, Bernard",23|7|1944,, Pac. ,1,77000,5,2470
229, 964-27-4755," Gaines, Indira",29|1|2027,,New England,0,26700,1,450
230,091-58-5378,Stewart Page,27|5|1954,,New England ,1,37100,4,2030
231, 120-80-7757,"Martin, Germaine",26|6|1955,, ,0,98700,4,1880
232,506349996,"Bush, Melanie",17|11|1948,,Middle Atlantic ,1,97200,3,1560
233,924-59-1581,"Brock, Hasad",12|5|1931,,Ala. ,0,138,6,2950
234,395581541,"Stout, Yetta",12|1|1934,, E. S. Central ,0,63800,2,1090
235,884-65-4305,Walker Malone,9|5|1931,,South Atlantic ,0,28300,2,1060
236,892993317,"Strong, Blair",29|3|1941,, W. N. Central,1,151700,1,440
237,494652606,Akeem Foley,17|1|1942,,Hawaii,0,131100,2,1110
238, 138-63-0828,"Contreras, Marvin",22|6|1967,, ENC,0,25900,2,1010
239, 85819-2871,"Mathews, Adam",6|4|1953,,Middle Atlantic,1,34000,4,1970
240,551-17-7662,Blossom Maynard,23|6|1971,,Alaska,0,22400,1,580
241,742427288,"Barlow, Illana",5|4|1930,,Pacific,0,54100,2,470
242,049-58-2871," Thomas, Caesar",26|11|1974,,Alaska,0,39900,2,950
243,271-84-4247,"Decker, Cheyenne",3|2|1931,,Pacific,1,34200,1,480
244,044-48-5965,"Hurley, Wallace ",4|3|1943,,SA ,0,78500,8,3880
245,732-36-7959,Bethany Cash,11|7|1947,,East North Central,1,66700,2,1040
246,977-55-0497,"Le, Axel",12|3|1959,, E. N. Central ,0,113500,2,880
247,804-79-7236," Odonnell, Magee",4|10|1934,,Middle Atlantic,1,142400,1,490
248,892548157,"Salazar, Noah",15|2|1946,, South Atlantic ,0,105900,2,960
249,261-1-5835,Kevin Simpson ,16|11|1934,,East South Central,1,46300,3,1460
250,586870627,Raven Bender,24|6|1952,, Pacific,1,53300,9999,9999
251,972-64-3538,Dora Lopez ,13|3|1938,, New England,0,118000,3,1460
252, 089424360,Mannix Mckinney,21|5|1965,, Pacific,1,41100,2,920
253,78264-0324, Ivan Mathews,19|8|1968,,Middle Atlantic,1,105200,2,950
254, 671-53-6570,Allegra Gordon,11|5|1953,,,0,57000,3,1470
255,227-69-6663,"Herrera, Xavier",3|7|1949,,Mid. Atlantic,0,32500,3,1440
256,533806965,Karina Goff,7|7|1943,,Pacific,1,149000,2,1120
257, 920-64-7706,"Macdonald, Ryder",18|5|1972,,M,0,45500,6,3090
258,760-60-7511,"Larson, Patrick",17|2|1939,, ENC,1,93200,2,1090
259,731526832,"Spencer, Xena",5|2|1951,,Middle Atlantic,1,41700,3,450
260,496-45-7610,"Lindsey, Brittany",30|5|1946,,HI ,0,27600,4,1930
261, 251-74-9797,Fleur Ingram,22|1|1945,, Mid. Atlantic,0,27500,4,2090
262,078-85-9738,"Campos, Amela",3|4|1962,, Middle Atlantic,1,85100,1,490
263,282861522,Pascale Bradley,25|7|1940,, South Atlantic,1,58900,3,1490
264, 378-37-8821, Maile Pickett,28|8|1941,,East North Central ,0,105200,7,3540
265, 937-42-0019,Jane Nicholson,17|1|1949,,NE,0,102200,2,980
266,222-65-1578,Basia Townsend,2|8|1959,,MA ,0,95300,6,3030
267,361547583,"Oliver, Connor",27|2|1937,,Middle Atlantic ,1,66800,2,1020
268, 565573284 ,Madeson Nunez ,20|4|1957,, West South Central,1,58300,4,1900
269,142-86-8046,"Mcdowell, Holly",15|2|1948,,East South Central,1,53500,4,1970
270,985-8-7861,"Ross, Lilah ",17|8|1940,,South Atlantic ,0,9999,2,940
271, 597-27-9276,Wynne Whitley,13|1|1952,,West South Central,0,21700,4,1870
272,414-22-4812,"Holman, Melyssa",21|12|1972,, ,1,123600,1,530
273,257-78-4740,"Ellis, Len",12|8|1942,,ENC,0,92800,4,1930
274,189-121771,"Lynn, Darryl",31|12|1947,, ,0,31900,4,2090
275,854-00-7900,"Owens, Avye",19|8|1971,,New England,0,49900,1,500
276,928-27-7429,Diana Maddox,12|4|1937,,South Atlantic ,1,31900,5,2540
277, 279-05-7605,"Peters, Jasmine",5|10|1947,,NE,0,72200,1,600
278,716-10-5355,"England, Tamekah",31|3|1976,,,0,132000,2,1070
279,349-95-9773,"Bryan, Sade",27|7|1944,,Mid. Atlantic,1,129700,2,980
280,054-58-8104 ,"Irwin, Colette",7|8|1963,, New England,0,158300,2,1120
281,442-76-6612,"Grant, Bianca",13|8|1976,, ,1,55600,6,3050
282,752-49-4867,Randall Wilkerson,20|10|1937,,West North Central,0,136400,1,470
283,068-99-9086,Lacy Mann,26|8|1949,,NE,0,86000,2,1020
284,174-78-3642,Irma Ewing,21|3|1936,,West South Central ,0,55900,5,2620
285,603731482,"Dodson, Nasim",18|11|1967,,Pacific,0,97600,5,2490
286,777-09-2294," Flowers, Wallace",27|5|1947,, Ala. ,0,153000,2,1070
287, 133-53-5943,Rebekah Oliver,22|9|1935,, New England ,1,20000,9999,9999
288, 235-31-1095,"Warner, Ruth",18|12|1953,,South Atlantic,0,72500,7,3470
289,081-13-7838,"Carney, David",15|8|1957,, West North Central,0,83600,2,1000
290,234-76-1576," Miranda, Maxine",19|10|1976,,Mountain,0,90200,5,2390
291, 230-20-4455,"Mays, Kuame",23|3|1952,,Pac.,1,130100,0,0
292,959-45-2475,"Preston, Roth",11|11|1939,, AK,0,76000,6,2990
293, 007-25-4693,Mari Tyson ,1|9|1956,,E. S. Central ,0,152200,1,540
294,728-06-3395,"Ford, Todd",12|7|1966,,Hawaii,0,159800,3,1300
295,076-10-0890,"Jacobs, Rhiannon",12|11|1961,,S. Atlantic,0,158700,4,2040
296,961-16-5873,"Mccullough, Ross",12|9|1965,,Ala. ,0,68400,1,460
297,744-98-5832,Nicole Castaneda,7|9|1962,, M,0,144500,4,2010
298,325-41-2910,"Green, Stephen ",2|5|1931,,West North Central,1,159500,1,460
299,862-31-3255,"Waller, Sloane",19|10|1967,,W. N. Central,0,130400,3,1590
300,764-61-5558,"Ayers, Ila",24|1|1954,,SA,0,86800,5,2560
301,984-52-9881,"Velez, Declan ",12|2|1966,,East South Central,1,101400,1,540
302,662922229,"Church, Dominic",7|2|1953,,MA,0,88700,2,1010
303, 769-88-6739,"Galloway, Jaquelyn",17|6|1963,,Middle Atlantic,0,50000,4,1970
304, 910-51-2471,"Velazquez, Bethany",26|2|1956,,P,1,157000,2,930
305,844-85-3557,"Vega, Hasad",3|5|1954,,Haw. ,0,35300,1,500
306,408842806,Beverly Chang,2|12|1934,,New England,0,26300,3,1430
307, 063-48-1761,"Morse, Ezekiel",25|5|1957,, SA,0,155200,2,980
308,388-54-9400,"Mccullough, Damian",24|11|1931,,MA,0,95200,3,1550
309,219-27-1292,Walker Petersen,7|6|1951,,West South Central,1,67700,4,2080
310,038106353,"Arnold, Nyssa",10|3|1942,,East South Central ,0,98400,3,1470
311,786-42-3749,"Kemp, Brittany",15|6|1962,,East North Central,2,62500,5,2340
312,506-561313, Hector Hickman,8|10|1973,,Pac.,0,155700,3,1590
313, 614-15-8673,"Farrell, Ruth",9|9|1938,,East South Central,0,90000,2,1030
314,304-83-6329,Stewart Rosa,13|4|1943,,Middle Atlantic,1,93700,4,1900
315,785-96-4046,"Mason, Halee",22|11|1946,,Mountain ,0,25000,5,2430
316,248-09-8827,"Hodge, Marshall",7|4|1941,,Middle Atlantic,1,87400,4,2230
317, 865-85-3875,"Thompson, Phillip",19|12|1931,, SA,0,149900,9999,9999
318,881-27-0410,"Morales, Herman",3|6|1948,,Mid. Atlantic,0,43200,2,970
319,510655417,Sydney Dunn,17|1|1947,,Mid. Atlantic,0,126700,4,2010
320,125371477," Wyatt, Ashton",9|4|1966,,SA ,0,73100,1,520
321,037-37-1991,Scott Flowers,12|7|1971,,Middle Atlantic,0,85400,5,2590
322,859-61-4407,"Hammond, Shafira",5|12|1933,,Pac. ,1,102800,2,1070
323,82362-8660," Kramer, Amir",24|10|1976,,East North Central,1,88500,5,2450
325,508-961734,Freya Gamble,26|1|1971,, Pacific ,0,29600,5,2640
326, 338-32-1375,"Craft, Diana ",5|4|1974,, Mid. Atlantic,1,94900,4,1820
327,990129391,"Saunders, Jessica",3|4|1937,,Alaska,0,85200,4,2120
329,133-35-4732,"Hood, Yolanda",19|11|1930,,East North Central,1,101700,3,1630
330,384-24-2902,"Hendrix, Malik",14|10|1957,,East South Central ,1,80300,0,0
331,486-60-578,Brenna Alvarez,30|12|1934,, Middle Atlantic ,0,65400,3,1630
332,614-02-9471," Simon, Patricia",10|2|1941,,Middle Atlantic,0,45900,4,2000
333,197-394449,"Weiss, Jameson ",21|7|1934,,East South Central,0,39100,2,880
334,702-85-1018,"Warner, Sybil",25|8|1947,,W. S. Central,1,135200,2,1040
335,682342855,Amena Newman,16|7|1954,,,0,116800,2,1110
